,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
63,104536000,106678000,100000,100000,0,1184000,100652000,100652000,1184000,2242000,2600000,2500000,3784000,4742000,3884000,6026000,100000,100000,0,1184000,0,0,1184000,2242000,2600000,2500000,3784000,4742000,100010,1158020,100000,100000,10,1058020
93,109528000,212749000,100000,100000,2658000,3618000,100652000,201304000,3618000,5627000,2500000,2100000,6118000,7727000,8876000,11445000,100000,100000,2658000,3618000,0,0,3618000,5627000,2500000,2100000,6118000,7727000,100010,2758020,100000,100000,10,2658020
4,102749000,103383000,100000,100000,1997000,2631000,100652000,100652000,0,0,0,0,0,0,2097000,2731000,100000,100000,1997000,2631000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
34,114153000,114755000,100000,100000,4525000,4676000,100652000,100652000,4676000,5027000,4200000,4300000,8876000,9327000,13501000,14103000,100000,100000,4525000,4676000,0,0,4676000,5027000,4200000,4300000,8876000,9327000,100010,1950020,100000,100000,10,1850020
64,104248000,112959000,100000,100000,0,896000,100652000,100652000,896000,8811000,2600000,2500000,3496000,11311000,3596000,12307000,100000,100000,0,896000,0,0,896000,8811000,2600000,2500000,3496000,11311000,100010,8015040,100000,100000,10,7915040
94,109710000,413881000,100000,100000,1928000,3246000,100652000,402608000,2830000,5627000,4200000,2300000,7030000,7927000,9058000,11273000,100000,100000,1928000,3246000,0,0,2830000,5627000,4200000,2300000,7030000,7927000,100010,7433050,100000,100000,10,7333050
5,109094000,112908000,100000,100000,1997000,2945000,100652000,100652000,2945000,8811000,3400000,400000,6345000,9211000,8442000,12256000,100000,100000,1997000,2945000,0,0,2945000,8811000,3400000,400000,6345000,9211000,100010,6260010,100000,100000,10,6160010
35,114897000,116254000,100000,100000,4750000,4995000,100652000,100652000,4995000,6407000,4400000,4100000,9395000,10507000,14245000,15602000,100000,100000,4750000,4995000,0,0,4995000,6407000,4400000,4100000,9395000,10507000,100010,1512010,100000,100000,10,1412010
65,102749000,103146000,100000,100000,1997000,2394000,100652000,100652000,0,0,0,0,0,0,2097000,2494000,100000,100000,1997000,2394000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
95,103946000,305718000,100000,100000,3194000,3662000,100652000,301956000,0,0,0,0,0,0,3294000,3762000,100000,100000,3194000,3662000,0,0,0,0,0,0,0,0,100010,100000,100000,100000,10,0
6,108291000,108536000,100000,100000,1997000,2242000,100652000,100652000,2242000,2242000,3300000,3300000,5542000,5542000,7639000,7884000,100000,100000,1997000,2242000,0,0,2242000,2242000,3300000,3300000,5542000,5542000,100010,2097020,100000,100000,10,1997020
36,112486000,113866000,100000,100000,5027000,6407000,100652000,100652000,6407000,6407000,300000,300000,6707000,6707000,11834000,13214000,100000,100000,5027000,6407000,0,0,6407000,6407000,300000,300000,6707000,6707000,100010,451010,100000,100000,10,351010
66,108991000,210928000,100000,100000,1997000,2842000,100652000,201304000,2842000,3282000,3400000,3400000,6242000,6682000,8339000,9624000,100000,100000,1997000,2842000,0,0,2842000,3282000,3400000,3400000,6242000,6682000,100010,540010,100000,100000,10,440010
96,112342000,517852000,100000,100000,3194000,6096000,100652000,503260000,6096000,6096000,2300000,2300000,8396000,8396000,11690000,14592000,100000,100000,3194000,6096000,0,0,6096000,6096000,2300000,2300000,8396000,8396000,100010,7377050,100000,100000,10,7277050
