,n_nrml_fwding_table_entries,n_alt_fwding_table_entries,n_opposite_table_entries,n_state_transition_table_entries
237,128,3008.0,16.0,48.0
238,128,3008.0,16.0,48.0
239,128,3008.0,16.0,48.0
240,128,3008.0,16.0,48.0
241,128,3008.0,16.0,48.0
242,128,3008.0,16.0,48.0
243,128,3008.0,16.0,48.0
244,128,3008.0,16.0,48.0
245,128,3008.0,16.0,48.0
246,128,3008.0,16.0,48.0
247,128,3008.0,16.0,48.0
248,128,3008.0,16.0,48.0
249,128,3008.0,16.0,48.0
250,128,3008.0,16.0,48.0
251,128,3008.0,16.0,48.0
252,128,3008.0,16.0,48.0
253,128,3008.0,16.0,48.0
254,128,3008.0,16.0,48.0
255,128,3008.0,16.0,48.0
256,128,256.0,16.0,48.0
257,128,256.0,16.0,48.0
258,128,256.0,16.0,48.0
259,128,256.0,16.0,48.0
260,128,256.0,16.0,48.0
261,128,256.0,16.0,48.0
262,128,256.0,16.0,48.0
263,128,256.0,16.0,48.0
264,128,256.0,16.0,48.0
265,128,256.0,16.0,48.0
266,128,256.0,16.0,48.0
267,128,256.0,16.0,48.0
268,128,256.0,16.0,48.0
269,128,256.0,16.0,48.0
270,128,256.0,16.0,48.0
271,128,256.0,16.0,48.0
272,128,256.0,16.0,48.0
273,128,256.0,16.0,48.0
274,128,256.0,16.0,48.0
275,128,256.0,16.0,48.0
276,128,256.0,16.0,48.0
277,128,256.0,16.0,48.0
278,128,256.0,16.0,48.0
279,128,256.0,16.0,48.0
280,128,256.0,16.0,48.0
281,128,256.0,16.0,48.0
282,128,256.0,16.0,48.0
283,128,256.0,16.0,48.0
284,128,256.0,16.0,48.0
285,128,256.0,16.0,48.0
286,128,256.0,16.0,48.0
287,128,256.0,16.0,48.0
288,128,256.0,16.0,48.0
289,128,256.0,16.0,48.0
290,128,256.0,16.0,48.0
291,128,256.0,16.0,48.0
292,128,256.0,16.0,48.0
293,128,256.0,16.0,48.0
294,128,256.0,16.0,48.0
295,128,256.0,16.0,48.0
296,128,256.0,16.0,48.0
297,128,256.0,16.0,48.0
298,128,256.0,16.0,48.0
299,128,256.0,16.0,48.0
300,128,256.0,16.0,48.0
301,128,256.0,16.0,48.0
302,128,256.0,16.0,48.0
303,128,256.0,16.0,48.0
304,128,256.0,16.0,48.0
305,128,256.0,16.0,48.0
306,128,256.0,16.0,48.0
307,128,256.0,16.0,48.0
308,128,256.0,16.0,48.0
309,128,256.0,16.0,48.0
310,128,256.0,16.0,48.0
311,128,256.0,16.0,48.0
312,128,256.0,16.0,48.0
313,128,256.0,16.0,48.0
314,128,256.0,16.0,48.0
315,128,256.0,16.0,48.0
316,128,256.0,16.0,48.0
317,128,256.0,16.0,48.0
318,128,256.0,16.0,48.0
319,128,256.0,16.0,48.0
